Timestamp,Sample_Index,LoadCell1_Berat_kg,LoadCell1_Gaya_N,LoadCell2_Berat_kg,LoadCell2_Gaya_N,Termokopel1_Suhu_C,Termokopel1_Fahrenheit_F,Termokopel2_Suhu_C,Termokopel2_Fahrenheit_F
2026-08-29 05:46:34.144,1,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:34.149,2,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:34.224,3,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:34.739,4,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:35.262,5,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:35.783,6,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:36.306,7,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:36.827,8,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:37.351,9,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:37.873,10,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:38.393,11,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:38.918,12,0.000,0.00,-128.000,-1255.20,22.00,71.60,0.00,32.00
2026-08-29 05:46:39.440,13,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:39.963,14,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:40.485,15,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:41.007,16,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:41.529,17,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:42.050,18,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:42.573,19,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:43.095,20,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:43.616,21,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:44.139,22,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:44.660,23,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:45.183,24,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:45.705,25,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:46.316,26,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:46.749,27,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:47.270,28,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:47.794,29,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
2026-08-29 05:46:48.316,30,0.000,0.00,0.000,0.00,22.00,71.60,0.00,32.00
